0       0.743   1       	0.956	13.5906   
0       0.743   2       	0.972	13.6681   
0       0.743   3       	0.938	13.2306   
0       0.743   4       	0.93 	13.0557   
0       0.743   5       	0.94 	13.258    
0       0.743   7       	0.932	13.1312   
0       0.743   8       	0.938	13.2254   
0       0.743   11      	0.74 	10.4182   
0       0.743   13      	0.922	12.9673   
0       0.743   14      	0.96 	13.6482   
0       0.743   15      	0.456	6.39351   
0       0.743   19      	0.936	12.777    
0       0.743   20      	0.668	9.39487   
6       0.1204  10      	0.356	4.09148   
6       0.1204  17      	0.85 	9.74906   
12      0.0573  9       	0.076	0.918918  
18      0.0792  16      	0.496	2.06069   
