0       0.7433  1       	0.622	9.05901   
0       0.7433  3       	0.958	14.064    
0       0.7433  4       	0.604	8.85112   
0       0.7433  5       	0.952	13.9494   
0       0.7433  7       	0.866	12.7182   
0       0.7433  8       	0.948	13.8842   
0       0.7433  9       	0.948	13.925    
0       0.7433  10      	0.942	13.825    
0       0.7433  14      	0.772	11.3186   
0       0.7433  15      	0.476	7.13285   
0       0.7433  17      	0.962	14.124    
0       0.7433  18      	0.564	8.13532   
0       0.7433  19      	0.936	13.7241   
6       0.0811  13      	0.618	5.16906   
11      0.0605  16      	0.079	0.890347  
12      0.115   2       	0.651	8.02543   
12      0.115   20      	0.615	7.41711   
