0       0.6636  2       	0.852	12.7472   
0       0.6636  3       	0.952	14.2766   
0       0.6636  4       	0.772	11.537    
0       0.6636  5       	0.95 	14.2303   
0       0.6636  11      	0.928	13.9091   
0       0.6636  13      	0.998	14.9566   
0       0.6636  16      	0.956	14.3491   
0       0.6636  17      	0.936	14.0229   
0       0.6636  18      	0.58 	8.61858   
0       0.6636  20      	0.998	14.9605   
10      0.0434  7       	0.198	2.07599   
12      0.2151  1       	0.666	6.31205   
12      0.2151  6       	0.702	6.59974   
12      0.2151  8       	0.726	6.89901   
12      0.2151  9       	0.707	6.64625   
12      0.2151  14      	0.718	6.85589   
19      0.0778  15      	0.627	5.6338    
