0       0.7029  1       	0.95 	12.615    
0       0.7029  2       	0.476	6.349     
0       0.7029  5       	0.942	12.5026   
0       0.7029  6       	0.942	12.5146   
0       0.7029  9       	0.93 	12.3603   
0       0.7029  10      	0.548	7.37444   
0       0.7029  11      	0.772	10.2897   
0       0.7029  12      	0.914	12.1952   
0       0.7029  13      	0.942	12.5409   
0       0.7029  15      	0.45 	5.9248    
0       0.7029  16      	0.952	12.6527   
0       0.7029  18      	0.932	12.4009   
7       0.0544  3       	0.15 	1.22654   
14      0.0845  17      	0.576	6.50122   
19      0.1049  4       	0.795	9.49649   
20      0.0534  8       	0.179	2.11406   
