0       0.7541  1       	0.94 	13.7874   
0       0.7541  2       	0.932	13.6381   
0       0.7541  4       	0.466	6.8541    
0       0.7541  5       	0.87 	12.7035   
0       0.7541  7       	0.532	7.80248   
0       0.7541  8       	1    	14.6526   
0       0.7541  9       	0.476	6.95524   
0       0.7541  10      	0.906	13.229    
0       0.7541  12      	1    	14.6477   
0       0.7541  13      	0.782	11.4616   
0       0.7541  15      	0.87 	12.7313   
0       0.7541  20      	0.94 	13.7514   
14      0.0912  11      	0.536	6.89466   
17      0.0734  6       	0.182	1.83332   
19      0.0813  3       	0.419	5.14605   
19      0.0813  16      	0.117	1.51098   
19      0.0813  18      	0.085	0.945166  
