0       0.6572  1       	0.548	7.56599   
0       0.6572  2       	0.952	13.246    
0       0.6572  4       	0.954	13.2359   
0       0.6572  7       	0.938	12.9893   
0       0.6572  10      	0.938	12.965    
0       0.6572  11      	0.944	13.0789   
0       0.6572  12      	0.514	7.13652   
0       0.6572  15      	0.6  	8.36652   
0       0.6572  17      	0.938	13.0211   
0       0.6572  18      	0.928	12.8929   
3       0.1386  5       	0.154	1.8199    
3       0.1386  19      	0.765	9.67768   
3       0.1386  20      	0.76 	9.83411   
9       0.0489  13      	0.084	1.0389    
14      0.1553  6       	0.716	5.94144   
14      0.1553  8       	0.716	5.74291   
14      0.1553  16      	0.56 	4.61535   
