0       0.535   7       	0.072	1.05191   
0       0.535   8       	0.456	7.05224   
0       0.535   9       	0.964	14.8478   
0       0.535   13      	0.944	14.5514   
0       0.535   15      	0.382	5.89583   
0       0.535   16      	0.772	11.8615   
0       0.535   18      	0.514	7.92419   
3       0.1648  5       	0.842	7.51133   
3       0.1648  10      	0.551	4.88385   
6       0.1171  1       	0.169	1.84865   
6       0.1171  4       	0.169	1.89302   
6       0.1171  17      	0.367	4.21898   
6       0.1171  19      	0.347	3.89922   
11      0.0747  14      	0.096	0.917095  
12      0.1084  2       	0.109	1.2483    
12      0.1084  20      	0.667	7.59116   
