0       0.629   2       	0.668	8.91855   
0       0.629   3       	0.938	12.6394   
0       0.629   5       	0.8  	10.7811   
0       0.629   6       	0.952	12.8571   
0       0.629   7       	0.572	7.74518   
0       0.629   9       	0.936	12.5179   
0       0.629   12      	0.896	12.0024   
0       0.629   15      	0.922	12.5153   
0       0.629   18      	0.54 	7.20967   
1       0.1388  14      	0.756	9.31069   
1       0.1388  17      	0.724	8.9813    
4       0.1456  11      	0.686	6.72232   
4       0.1456  13      	0.535	5.22909   
4       0.1456  19      	0.444	4.35529   
10      0.0478  20      	0.066	0.672218  
16      0.0388  8       	0.11 	1.32711   
