0       1       1       	0.626	9.34578   
0       1       2       	0.082	1.25542   
0       1       3       	0.644	9.70827   
0       1       4       	0.926	13.9534   
0       1       5       	0.216	3.25812   
0       1       6       	0.794	11.8809   
0       1       7       	0.94 	14.1145   
0       1       8       	0.59 	8.86293   
0       1       9       	0.88 	13.2272   
0       1       10      	0.944	14.1945   
0       1       11      	0.078	1.19326   
0       1       12      	0.894	13.3833   
0       1       13      	0.932	13.9813   
0       1       14      	0.952	14.3035   
0       1       15      	0.894	13.4515   
0       1       16      	0.95 	14.2442   
0       1       17      	0.082	1.27891   
0       1       18      	0.958	14.3956   
0       1       19      	0.932	14.0175   
0       1       20      	0.932	14.0176   
