0       1       1       	0.846	10.7824   
0       1       2       	0.548	7.00246   
0       1       3       	0.69 	8.7575    
0       1       4       	0.948	12.0445   
0       1       5       	0.73 	9.29945   
0       1       6       	0.972	12.3993   
0       1       7       	0.686	8.79739   
0       1       8       	0.59 	7.51279   
0       1       9       	0.932	11.8872   
0       1       10      	0.938	11.9608   
0       1       11      	0.954	12.1644   
0       1       12      	0.938	11.9341   
0       1       13      	0.922	11.7366   
0       1       14      	0.58 	7.43534   
0       1       15      	0.958	12.2054   
0       1       16      	0.06 	0.788116  
0       1       17      	0.924	11.8079   
0       1       18      	0.456	5.77849   
0       1       19      	0.914	11.6608   
0       1       20      	0.794	10.0149   
