0       1       1       	0.962	13.4156   
0       1       2       	0.862	12.0253   
0       1       3       	0.896	12.5109   
0       1       4       	0.912	12.676    
0       1       5       	0.946	13.1989   
0       1       6       	0.15 	2.02086   
0       1       7       	0.952	13.2693   
0       1       8       	0.93 	12.9254   
0       1       9       	1    	13.9509   
0       1       10      	0.932	13.0045   
0       1       11      	0.83 	11.5894   
0       1       12      	0.152	2.14616   
0       1       13      	0.954	13.3104   
0       1       14      	0.094	1.32207   
0       1       15      	0.956	13.3539   
0       1       16      	0.068	0.8848    
0       1       17      	0.108	1.52835   
0       1       18      	0.132	1.8467    
0       1       19      	0.942	13.165    
0       1       20      	0.74 	10.2258   
