0       1       1       	0.078	1.26937   
0       1       2       	0.058	0.919027  
0       1       3       	0.972	14.9797   
0       1       4       	0.88 	13.5624   
0       1       5       	0.202	3.14751   
0       1       6       	0.928	14.3489   
0       1       7       	0.548	8.48384   
0       1       8       	0.062	0.995435  
0       1       9       	0.59 	9.07235   
0       1       10      	1    	15.457    
0       1       11      	0.914	14.0883   
0       1       12      	0.064	0.931393  
0       1       13      	0.15 	2.28815   
0       1       14      	0.728	11.2441   
0       1       15      	0.132	2.03413   
0       1       16      	0.928	14.3368   
0       1       17      	0.794	12.2883   
0       1       18      	0.058	0.873268  
0       1       19      	0.368	5.72492   
0       1       20      	0.932	14.4497   
