0       1       1       	0.974	13.2147   
0       1       2       	0.15 	1.98339   
0       1       3       	0.514	6.87547   
0       1       4       	0.936	12.6932   
0       1       5       	0.58 	7.87773   
0       1       6       	0.854	11.6139   
0       1       7       	0.916	12.4525   
0       1       8       	0.938	12.7914   
0       1       9       	0.94 	12.7302   
0       1       10      	0.782	10.6171   
0       1       11      	0.26 	3.52843   
0       1       12      	0.842	11.4667   
0       1       13      	0.128	1.7474    
0       1       14      	0.514	6.95227   
0       1       15      	0.582	7.94847   
0       1       16      	0.914	12.3948   
0       1       17      	0.772	10.4585   
0       1       18      	0.668	9.08513   
0       1       19      	0.952	12.9493   
0       1       20      	0.882	12.0011   
