0       0.4768  5       	0.336	5.13441   
0       0.4768  11      	0.964	14.8684   
0       0.4768  12      	0.948	14.6386   
0       0.4768  14      	0.592	9.11991   
0       0.4768  16      	0.956	14.7598   
0       0.4768  19      	0.986	15.2134   
1       0.0833  15      	0.719	6.58508   
6       0.0818  17      	0.668	5.00781   
9       0.0746  4       	0.629	5.53749   
10      0.0505  8       	0.445	3.67624   
13      0.0682  7       	0.641	8.20956   
18      0.0794  2       	0.632	8.39887   
20      0.0854  3       	0.781	8.23834   
