0       0.5248  3       	0.626	8.76702   
0       0.5248  7       	0.514	7.29619   
0       0.5248  9       	0.952	13.4593   
0       0.5248  15      	0.828	11.8103   
0       0.5248  17      	0.532	7.57473   
0       0.5248  18      	0.948	13.4409   
0       0.5248  19      	0.938	13.2697   
0       0.5248  20      	0.96 	13.5841   
1       0.061   12      	0.113	0.808885  
2       0.0656  14      	0.272	2.81817   
5       0.1015  8       	0.817	6.91162   
11      0.0894  10      	0.664	6.47192   
13      0.0592  6       	0.057	0.622568  
16      0.0986  4       	0.731	6.3479    
