0       0.6607  1       	0.938	12.7535   
0       0.6607  3       	0.906	12.2844   
0       0.6607  4       	0.932	12.6288   
0       0.6607  6       	0.062	0.833368  
0       0.6607  7       	0.928	12.5636   
0       0.6607  8       	0.96 	12.9964   
0       0.6607  9       	0.928	12.4769   
0       0.6607  12      	0.772	10.3431   
0       0.6607  13      	0.986	13.3806   
0       0.6607  16      	0.95 	12.8455   
0       0.6607  18      	0.73 	9.88002   
0       0.6607  19      	0.046	0.609629  
2       0.0719  20      	0.48 	3.43911   
11      0.0847  5       	0.572	5.5236    
15      0.0972  10      	0.808	9.80785   
17      0.0855  14      	0.705	4.78961   
