0       0.7482  1       	0.974	14.2811   
0       0.7482  3       	0.514	7.52492   
0       0.7482  4       	0.936	13.7397   
0       0.7482  5       	0.58 	8.56401   
0       0.7482  6       	0.854	12.4944   
0       0.7482  7       	0.916	13.3809   
0       0.7482  8       	0.938	13.8057   
0       0.7482  14      	0.514	7.51034   
0       0.7482  15      	0.582	8.53976   
0       0.7482  16      	0.914	13.3948   
0       0.7482  17      	0.772	11.2366   
0       0.7482  18      	0.668	9.90947   
0       0.7482  19      	0.952	13.9629   
0       0.7482  20      	0.882	12.9195   
9       0.0819  11      	0.451	3.62374   
10      0.0795  13      	0.569	5.4913    
12      0.0904  2       	0.694	7.93732   
