0       0.7308  1       	0.952	13.6435   
0       0.7308  2       	0.938	13.4568   
0       0.7308  6       	0.952	13.5832   
0       0.7308  7       	0.92 	13.1406   
0       0.7308  8       	0.772	11.0787   
0       0.7308  9       	0.93 	13.2909   
0       0.7308  11      	0.718	10.3072   
0       0.7308  12      	0.914	13.0672   
0       0.7308  13      	1    	14.3076   
0       0.7308  15      	0.926	13.263    
0       0.7308  17      	0.676	9.66238   
0       0.7308  18      	0.928	13.2328   
4       0.0793  5       	0.437	4.32018   
14      0.0639  10      	0.068	0.475211  
19      0.068   3       	0.141	1.73621   
20      0.058   16      	0.222	1.88841   
