0       0.4582  3       	0.676	9.88185   
0       0.4582  7       	0.936	13.5814   
0       0.4582  13      	0.062	0.84251   
0       0.4582  16      	0.914	13.2356   
0       0.4582  18      	0.548	8.02373   
0       0.4582  19      	0.928	13.4674   
5       0.0772  9       	0.27 	2.78174   
6       0.0686  4       	0.452	5.90564   
8       0.0681  15      	0.107	1.32984   
10      0.0784  1       	0.556	5.91853   
11      0.0637  2       	0.419	4.13716   
14      0.0942  12      	0.602	6.92365   
20      0.0917  17      	0.653	6.25531   
