0      	0.00409908  	84.2082      	0.443861   	14.249    
3      	0.00452354  	0            	0.874636   	9.65198   
4      	0.00420273  	47.6409      	0.563798   	11.8046   
6      	0.00528859  	57.8415      	0.441973   	10.3222   
11     	0.00455043  	0            	0.918836   	10.0383   
0      	0.00415707  	86.7853      	0.418869   	13.9863   
6      	0.00635767  	53.8432      	0.462339   	8.41599   
11     	0.00493504  	20.1592      	0.860585   	10.7137   
13     	0.00426353  	0            	1.03794    	11.3665   
17     	0.00355579  	0            	0.822785   	11.3309   
19     	0.00633673  	0            	0.731707   	4.92225   
0      	0.00420701  	87.2218      	0.421791   	13.9437   
2      	0.00524469  	66.0527      	0.342425   	10.0926   
6      	0.00392073  	0            	0.923645   	12.3433   
7      	0.0048898   	4.65294      	0.800915   	9.70784   
0      	0.00422733  	87.3515      	0.415349   	13.9295   
11     	0.00431577  	52.7891      	0.474746   	12.1178   
16     	0.0043745   	0            	0.735294   	10.6514   
18     	0.00656714  	8.39854      	0.469484   	7.10003   
0      	0.00415019  	90.282       	0.402855   	13.8748   
1      	0.00753928  	54.3502      	0.43684    	7.8979    
4      	0.00419248  	2.7724       	0.902643   	11.7143   
10     	0.0039641   	0            	1.16054    	12.9107   
18     	0.00454737  	0            	0.606061   	6.62962   
0      	0.00406188  	88.7742      	0.419746   	14.2428   
6      	0.00543844  	15.0559      	0.723208   	10.6883   
11     	0.00450891  	57.1035      	0.500102   	11.9045   
0      	0.00416309  	90.3499      	0.401486   	13.8861   
5      	0.00436933  	3.50932      	0.962733   	11.175    
8      	0.00457349  	0            	0.679916   	10.9997   
10     	0.00621187  	74.9443      	0.30012    	8.36656   
0      	0.00421005  	87.1586      	0.419091   	13.9154   
3      	0.00517289  	58.4299      	0.443678   	10.7413   
6      	0.00468162  	46.7266      	0.492084   	10.1015   
15     	0.00448954  	54.8071      	0.507921   	11.7236   
18     	0.00363519  	0            	1.28342    	8.63263   
0      	0.00365963  	70.5041      	0.544839   	15.8847   
1      	0.00496303  	0            	0.694789   	10.0587   
11     	0.00523439  	58.85        	0.401542   	8.92082   
13     	0.0069335   	25.7823      	0.554107   	8.2935    
18     	0.00435162  	7.13597      	1.08486    	12.6339   
20     	0.00469478  	0            	1.00745    	10.0229   
0      	0.00365098  	70.7675      	0.547986   	15.8768   
5      	0.00497192  	0            	0.688073   	10.0355   
7      	0.00528669  	6.44391      	0.755768   	9.83021   
