0       1       1       	0.942	13.1646   
0       1       2       	0.942	13.1369   
0       1       3       	0.15 	2.11211   
0       1       4       	0.226	3.10808   
0       1       5       	0.192	2.65018   
0       1       6       	0.954	13.3237   
0       1       7       	0.542	7.58408   
0       1       8       	0.906	12.6676   
0       1       9       	0.794	11.1656   
0       1       10      	0.926	12.9458   
0       1       11      	0.956	13.3201   
0       1       12      	0.662	9.24398   
0       1       13      	0.938	13.085    
0       1       14      	0.924	12.9481   
0       1       15      	0.06 	0.837205  
0       1       16      	0.736	10.3062   
0       1       17      	0.336	4.64747   
0       1       18      	0.06 	0.814322  
0       1       19      	1    	13.9581   
0       1       20      	0.772	10.7936   
