0       1       1       	0.062	0.877297  
0       1       2       	0.826	10.9801   
0       1       3       	0.95 	12.7025   
0       1       4       	0.826	10.9923   
0       1       5       	0.954	12.7282   
0       1       6       	0.956	12.7054   
0       1       7       	0.048	0.649943  
0       1       8       	0.062	0.800061  
0       1       9       	0.604	8.06466   
0       1       10      	0.938	12.5198   
0       1       11      	0.936	12.5341   
0       1       12      	0.914	12.1935   
0       1       13      	0.072	0.958173  
0       1       14      	0.958	12.8219   
0       1       15      	0.954	12.7398   
0       1       16      	0.938	12.5061   
0       1       17      	0.082	1.06347   
0       1       18      	0.06 	0.803195  
0       1       19      	0.59 	7.88719   
0       1       20      	0.782	10.46     
