0       1       1       	0.048	0.71866   
0       1       2       	0.592	8.95718   
0       1       3       	0.748	11.2411   
0       1       4       	0.884	13.2796   
0       1       5       	0.926	13.9103   
0       1       6       	0.776	11.6869   
0       1       7       	0.944	14.1968   
0       1       8       	0.928	13.9421   
0       1       9       	0.174	2.61648   
0       1       10      	0.456	6.85244   
0       1       11      	0.202	3.02205   
0       1       12      	0.062	0.887027  
0       1       13      	0.942	14.172    
0       1       14      	0.644	9.73346   
0       1       15      	0.476	7.11381   
0       1       16      	0.564	8.43299   
0       1       17      	0.238	3.54454   
0       1       18      	0.728	10.8943   
0       1       19      	0.276	4.20822   
0       1       20      	0.682	10.2522   
