0       1       1       	0.936	12.4865   
0       1       2       	0.622	8.30124   
0       1       3       	0.688	9.10682   
0       1       4       	0.944	12.5558   
0       1       5       	0.368	4.97178   
0       1       6       	0.592	7.85085   
0       1       7       	0.062	0.818621  
0       1       8       	1    	13.3388   
0       1       9       	0.748	9.98423   
0       1       10      	1    	13.3348   
0       1       11      	0.936	12.4848   
0       1       12      	0.946	12.6118   
0       1       13      	0.914	12.2281   
0       1       14      	0.938	12.5154   
0       1       15      	0.89 	11.8472   
0       1       16      	0.938	12.4709   
0       1       17      	0.728	9.69361   
0       1       18      	0.916	12.2251   
0       1       19      	0.476	6.32937   
0       1       20      	0.232	3.13482   
