0       1       1       	0.906	11.8154   
0       1       2       	0.896	11.6612   
0       1       3       	0.152	1.90852   
0       1       4       	0.09 	1.18343   
0       1       5       	0.674	8.75177   
0       1       6       	0.954	12.4266   
0       1       7       	0.122	1.55886   
0       1       8       	0.772	10.038    
0       1       9       	0.964	12.533    
0       1       10      	0.952	12.3825   
0       1       11      	0.22 	2.89875   
0       1       12      	0.438	5.62081   
0       1       13      	0.958	12.4431   
0       1       14      	0.948	12.3548   
0       1       15      	0.942	12.2463   
0       1       16      	0.226	2.89047   
0       1       17      	0.478	6.25243   
0       1       18      	0.828	10.7483   
0       1       19      	0.854	11.0935   
0       1       20      	0.956	12.4167   
