0       1       1       	0.962	13.7574   
0       1       2       	0.15 	2.16131   
0       1       3       	0.986	14.103    
0       1       4       	0.794	11.338    
0       1       5       	0.232	3.33649   
0       1       6       	0.938	13.3756   
0       1       7       	0.87 	12.4386   
0       1       8       	0.476	6.78715   
0       1       9       	0.944	13.5084   
0       1       10      	0.758	10.7889   
0       1       11      	0.132	1.93495   
0       1       12      	0.93 	13.2829   
0       1       13      	0.06 	0.887321  
0       1       14      	0.564	8.01475   
0       1       15      	0.548	7.79092   
0       1       16      	0.54 	7.67874   
0       1       17      	0.932	13.3086   
0       1       18      	0.682	9.72926   
0       1       19      	0.95 	13.5796   
0       1       20      	0.052	0.722474  
