0       1       1       	0.408	5.83079   
0       1       2       	0.068	0.97642   
0       1       3       	0.948	13.4841   
0       1       4       	0.564	8.07524   
0       1       5       	0.956	13.5892   
0       1       6       	0.938	13.343    
0       1       7       	0.202	2.83599   
0       1       8       	0.132	1.88915   
0       1       9       	0.478	6.82348   
0       1       10      	0.896	12.7805   
0       1       11      	0.956	13.608    
0       1       12      	0.896	12.7433   
0       1       13      	0.936	13.3458   
0       1       14      	0.94 	13.3884   
0       1       15      	0.946	13.4874   
0       1       16      	0.064	0.917175  
0       1       17      	0.22 	3.15412   
0       1       18      	0.932	13.2497   
0       1       19      	0.2  	2.80896   
0       1       20      	0.952	13.5596   
