0       0.6765  3       	0.954	14.6936   
0       0.6765  4       	0.514	7.89375   
0       0.6765  5       	0.94 	14.4783   
0       0.6765  6       	0.952	14.6678   
0       0.6765  7       	0.456	7.08042   
0       0.6765  10      	0.604	9.39426   
0       0.6765  12      	0.958	14.7287   
0       0.6765  13      	0.682	10.5531   
0       0.6765  14      	0.686	10.5742   
0       0.6765  17      	0.914	14.0696   
0       0.6765  19      	0.826	12.783    
0       0.6765  20      	0.456	7.02909   
9       0.0926  2       	0.714	7.49184   
15      0.053   11      	0.3  	3.04813   
16      0.0878  1       	0.669	7.33052   
18      0.0901  8       	0.508	2.13437   
