0       0.6263  1       	0.962	12.8023   
0       0.6263  5       	0.946	12.6199   
0       0.6263  7       	0.952	12.6271   
0       0.6263  8       	0.93 	12.385    
0       0.6263  9       	1    	12.9403   
0       0.6263  11      	0.83 	10.9835   
0       0.6263  13      	0.954	12.6674   
0       0.6263  15      	0.956	12.7128   
0       0.6263  16      	0.068	0.93883   
0       0.6263  19      	0.942	12.4478   
2       0.0766  12      	0.41 	3.86824   
3       0.0603  14      	0.106	1.26139   
4       0.0921  6       	0.618	5.82761   
10      0.0674  17      	0.188	1.78626   
20      0.0773  18      	0.545	4.73219   
