0       0.5946  5       	0.952	14.6524   
0       0.5946  7       	0.742	11.4821   
0       0.5946  8       	0.466	7.25472   
0       0.5946  9       	0.564	8.6858    
0       0.5946  11      	0.718	11.0494   
0       0.5946  13      	0.914	14.0507   
0       0.5946  14      	0.83 	12.7345   
0       0.5946  15      	0.882	13.5694   
0       0.5946  16      	0.772	11.8975   
0       0.5946  19      	0.948	14.5546   
2       0.0793  20      	0.638	7.18932   
4       0.0921  3       	0.709	7.66641   
6       0.0587  17      	0.096	1.07499   
10      0.0735  12      	0.363	3.02687   
18      0.1018  1       	0.881	9.92319   
