0       0.855   1       	0.592	8.82683   
0       0.855   2       	0.688	10.2747   
0       0.855   3       	0.81 	12.0902   
0       0.855   4       	0.948	14.1728   
0       0.855   6       	0.896	13.3678   
0       0.855   7       	0.956	14.2988   
0       0.855   8       	0.948	14.1918   
0       0.855   9       	0.956	14.3356   
0       0.855   10      	0.914	13.6339   
0       0.855   11      	0.956	14.2715   
0       0.855   12      	0.856	12.8644   
0       0.855   13      	0.514	7.74053   
0       0.855   15      	0.952	14.2706   
0       0.855   18      	0.826	12.321    
0       0.855   19      	0.954	14.3271   
0       0.855   20      	0.942	14.0737   
5       0.0486  17      	0.322	3.46805   
14      0.0964  16      	0.812	6.2679    
