0       0.4298  7       	0.954	15.0849   
0       0.4298  9       	0.942	14.9467   
0       0.4298  16      	0.94 	14.878    
0       0.4298  17      	0.948	14.947    
2       0.0694  3       	0.532	5.91607   
4       0.0894  1       	0.817	9.22566   
5       0.0622  12      	0.514	5.01347   
10      0.0765  8       	0.712	6.01238   
11      0.0696  15      	0.535	5.20158   
13      0.0874  6       	0.727	9.19738   
19      0.0467  18      	0.206	2.13722   
20      0.069   14      	0.382	4.25506   
