0       1       1       	0.928	12.3997   
0       1       2       	0.846	11.3253   
0       1       3       	0.626	8.40344   
0       1       4       	0.37 	4.96217   
0       1       5       	0.914	12.1882   
0       1       6       	0.05 	0.636169  
0       1       7       	0.514	6.95146   
0       1       8       	0.398	5.29571   
0       1       9       	0.952	12.7401   
0       1       10      	0.238	3.22295   
0       1       11      	0.862	11.556    
0       1       12      	0.094	1.23915   
0       1       13      	0.952	12.7347   
0       1       14      	0.132	1.74252   
0       1       15      	0.828	11.0128   
0       1       16      	0.95 	12.7149   
0       1       17      	0.532	7.04638   
0       1       18      	0.948	12.6338   
0       1       19      	0.938	12.4966   
0       1       20      	0.96 	12.8237   
