0       1       1       	0.986	13.1389   
0       1       2       	0.866	11.538    
0       1       3       	0.794	10.5451   
0       1       4       	0.466	6.20405   
0       1       5       	0.082	1.13977   
0       1       6       	0.078	1.05574   
0       1       7       	0.382	5.09652   
0       1       8       	0.974	12.9461   
0       1       9       	0.938	12.509    
0       1       10      	0.156	2.09916   
0       1       11      	0.944	12.5835   
0       1       12      	0.826	10.9934   
0       1       13      	0.928	12.3902   
0       1       14      	0.062	0.85266   
0       1       15      	0.954	12.6904   
0       1       16      	0.064	0.844644  
0       1       17      	0.054	0.701205  
0       1       18      	0.476	6.33649   
0       1       19      	0.926	12.3161   
0       1       20      	0.956	12.7373   
