0       1       1       	0.45 	6.58466   
0       1       2       	0.758	11.0746   
0       1       3       	0.282	4.1625    
0       1       4       	0.914	13.3751   
0       1       5       	0.952	13.9441   
0       1       6       	0.938	13.6929   
0       1       7       	0.742	10.8494   
0       1       8       	0.466	6.85427   
0       1       9       	0.564	8.29705   
0       1       10      	0.932	13.6285   
0       1       11      	0.718	10.5223   
0       1       12      	0.18 	2.61258   
0       1       13      	0.914	13.3301   
0       1       14      	0.83 	12.1114   
0       1       15      	0.882	12.9229   
0       1       16      	0.772	11.3005   
0       1       17      	0.064	0.943772  
0       1       18      	0.912	13.3256   
0       1       19      	0.948	13.853    
0       1       20      	0.202	2.9454    
